Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,Banda ancha fija,Dial up,ADSL,Cablemodem,Fibra óptica,Wireless,Otras tecnologias,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otras velocidades,Total accesos
2022,3,Capital Federal,122.28,50.22,1545534,2145.0,140791.0,1240125.0,129218.0,5758.0,31787.0,101.05,517.0,5742.0,34371.0,67829.0,51946.0,28692.0,1253105.0,105477.0,1547679.0
2022,3,Catamarca,65.33,16.62,70292,1.0,10010.0,10495.0,46224.0,1329.0,2235.0,60.99,71.0,384.0,3107.0,5389.0,5099.0,3737.0,50298.0,2208.0,70293.0
2022,3,Chaco,43.86,11.72,144141,5.0,27164.0,61800.0,44645.0,8178.0,2359.0,53.21,461.0,987.0,16782.0,18938.0,8049.0,15828.0,79390.0,3711.0,144146.0
2022,3,Chubut,84.38,25.86,164874,904.0,45377.0,72212.0,9574.0,29784.0,8831.0,15.57,109.0,1444.0,45707.0,30940.0,34682.0,15309.0,17563.0,20024.0,165778.0
2022,3,Córdoba,88.31,27.04,1038600,68.0,163770.0,465461.0,338570.0,61070.0,9797.0,56.32,99.0,11312.0,153324.0,111615.0,70989.0,27112.0,650344.0,13873.0,1038668.0
2022,3,Corrientes,48.21,12.69,144842,4.0,36508.0,77140.0,18619.0,7256.0,5323.0,45.07,67.0,3865.0,23427.0,23948.0,7776.0,21706.0,56950.0,7107.0,144846.0
2022,3,Entre Ríos,63.67,19.04,268937,22.0,60345.0,132952.0,36971.0,26098.0,12593.0,42.49,107.0,5549.0,47210.0,46855.0,18263.0,32021.0,102195.0,16759.0,268959.0
2022,3,Formosa,43.76,11.14,68537,1.0,14470.0,25880.0,11041.0,16935.0,212.0,30.35,97.0,307.0,23538.0,19545.0,6194.0,564.0,17704.0,589.0,68538.0
2022,3,Jujuy,58.91,15.06,118823,0.0,19257.0,52978.0,40172.0,4033.0,2383.0,32.43,58.0,1879.0,19135.0,15254.0,36083.0,519.0,45895.0,0.0,118823.0
2022,3,La Pampa,96.59,31.82,115921,171.0,7796.0,60078.0,23551.0,20216.0,4451.0,18.1,68.0,1887.0,61540.0,9653.0,11592.0,5609.0,22731.0,3012.0,116092.0
2022,3,La Rioja,80.66,21.47,86860,4.0,6842.0,53899.0,19697.0,6395.0,31.0,44.3,18.0,689.0,2842.0,3375.0,24219.0,5331.0,50390.0,0.0,86864.0
2022,3,Mendoza,51.03,14.24,288746,777.0,37659.0,78858.0,142615.0,27625.0,2766.0,34.16,103.0,2953.0,44232.0,21977.0,48201.0,17243.0,150043.0,4771.0,289523.0
2022,3,Misiones,51.82,14.11,182157,0.0,35513.0,88902.0,39046.0,11074.0,7622.0,49.3,51.0,3749.0,36628.0,20758.0,12676.0,19615.0,80330.0,8350.0,182157.0
2022,3,Neuquén,80.37,23.92,162693,468.0,29352.0,75815.0,29396.0,27482.0,1116.0,47.81,134.0,991.0,38485.0,14080.0,9200.0,6700.0,78713.0,14858.0,163161.0
2022,3,Río Negro,67.98,20.91,160010,548.0,35552.0,48260.0,41017.0,16760.0,18969.0,34.13,111.0,1221.0,32936.0,17860.0,27934.0,13629.0,42596.0,24271.0,160558.0
2022,3,Salta,57.76,13.99,204536,5.0,40006.0,96984.0,50254.0,10082.0,7215.0,41.33,114.0,1490.0,32923.0,71199.0,5662.0,1001.0,85661.0,6491.0,204541.0
2022,3,San Juan,50.8,12.94,103118,281.0,38570.0,22723.0,12328.0,21860.0,7918.0,15.84,24.0,2027.0,30324.0,11247.0,22157.0,6780.0,19221.0,11619.0,103399.0
2022,3,San Luis,81.74,23.39,121888,182.0,6860.0,29363.0,248.0,70614.0,14985.0,19.33,60.0,307.0,6563.0,20813.0,12061.0,67438.0,13.0,14815.0,122070.0
2022,3,Santa Cruz,43.19,12.85,49312,198.0,10170.0,24047.0,10815.0,3896.0,582.0,12.6,52.0,6841.0,12342.0,11313.0,11378.0,2333.0,4604.0,647.0,49510.0
2022,3,Santa Fe,78.55,24.7,887700,110.0,183740.0,426255.0,215189.0,43079.0,19547.0,45.15,468.0,11132.0,132709.0,198588.0,70897.0,57455.0,396352.0,20209.0,887810.0
2022,3,Santiago Del Estero,47.98,11.91,119030,2.0,15385.0,80937.0,13170.0,6618.0,2922.0,17.69,178.0,1384.0,28357.0,58982.0,16087.0,910.0,12342.0,792.0,119032.0
2022,3,Tierra Del Fuego,99.51,29.5,53584,312.0,12754.0,39963.0,403.0,125.0,651.0,11.01,22.0,831.0,12002.0,14815.0,20102.0,1752.0,1021.0,3351.0,53896.0
2022,3,Tucumán,61.14,15.14,263087,30.0,77738.0,18518.0,162345.0,3997.0,519.0,53.36,39.0,2047.0,32571.0,39018.0,25214.0,4348.0,159600.0,280.0,263117.0
